"","X","Participant","PhaseOffset","AvgCorrect","AvgRT"
"1",1,1001,0,0.541666666666667,5.41718585850272
"2",2,1001,90,0.375,5.39105507679392
"3",3,1001,180,0.25,5.61506938707052
"4",4,1001,270,0.333333333333333,4.90895978707924
"5",5,1002,0,0.791666666666667,4.13674372188261
"6",6,1002,90,0.708333333333333,4.67088375455675
"7",7,1002,180,0.583333333333333,4.83848677765646
"8",8,1002,270,0.625,4.57681470878238
"9",9,1003,0,0.5,4.86725312768899
"10",10,1003,90,0.333333333333333,5.21034335432246
"11",11,1003,180,0.333333333333333,4.81603936755106
"12",12,1003,270,0.291666666666667,4.67068453278853
"13",13,1004,0,0.5,5.00839516271311
"14",14,1004,90,0.333333333333333,5.57748805420175
"15",15,1004,180,0.458333333333333,6.42871514614011
"16",16,1004,270,0.333333333333333,6.52877839674461
"17",17,1005,0,0.5,4.30459939689937
"18",18,1005,90,0.375,4.21697197755414
"19",19,1005,180,0.375,3.998737490743
"20",20,1005,270,0.333333333333333,4.66943092817527
"21",21,1006,0,0.541666666666667,6.37291018942372
"22",22,1006,90,0.375,5.13901392695753
"23",23,1006,180,0.458333333333333,5.13996749052249
"24",24,1006,270,0.25,6.43592556426815
"25",25,1007,0,0.416666666666667,5.58067658150412
"26",26,1007,90,0.333333333333333,5.49175869384544
"27",27,1007,180,0.458333333333333,5.88052740364856
"28",28,1007,270,0.375,5.52583971499136
"29",29,1008,0,0.708333333333333,5.51960001863666
"30",30,1008,90,0.666666666666667,5.82394132863528
"31",31,1008,180,0.75,5.24047587173894
"32",32,1008,270,0.75,4.90376685357753
"33",33,1009,0,0.458333333333333,4.84202083879583
"34",34,1009,90,0.416666666666667,4.65417172267917
"35",35,1009,180,0.375,5.15017458322083
"36",36,1009,270,0.291666666666667,4.67583704610417
"37",37,1010,0,0.708333333333333,4.39604560515727
"38",38,1010,90,0.666666666666667,4.2844248236676
"39",39,1010,180,0.708333333333333,4.25090816243634
"40",40,1010,270,0.583333333333333,4.53622389260757
"41",41,1011,0,0.708333333333333,4.07241321046815
"42",42,1011,90,0.583333333333333,3.71816882295771
"43",43,1011,180,0.625,4.11075633743408
"44",44,1011,270,0.541666666666667,3.87542344942525
"45",45,1012,0,0.708333333333333,3.90438406747746
"46",46,1012,90,0.541666666666667,3.89847408788431
"47",47,1012,180,0.583333333333333,4.13471186824534
"48",48,1012,270,0.666666666666667,4.03341017001689
"49",49,1013,0,0.416666666666667,4.61557548322162
"50",50,1013,90,0.5,5.49300865724217
"51",51,1013,180,0.416666666666667,5.27156918173326
"52",52,1013,270,0.25,5.53609862362888
"53",53,1014,0,0.375,5.54417277412216
"54",54,1014,90,0.25,5.42873661667193
"55",55,1014,180,0.375,4.9253909728289
"56",56,1014,270,0.458333333333333,4.85626317455249
"57",57,1015,0,0.25,4.02072178671805
"58",58,1015,90,0.333333333333333,3.95358278572492
"59",59,1015,180,0.25,3.95934849683113
"60",60,1015,270,0.125,4.02729546559037
"61",61,1016,0,0.583333333333333,3.75152750569197
"62",62,1016,90,0.583333333333333,3.89740176502123
"63",63,1016,180,0.458333333333333,3.93454599559132
"64",64,1016,270,0.458333333333333,3.83785751765617
"65",65,1017,0,0.625,4.70233103373053
"66",66,1017,90,0.5,4.91839521787341
"67",67,1017,180,0.416666666666667,4.78932609946962
"68",68,1017,270,0.541666666666667,4.80453329016711
"69",69,1018,0,0.375,4.06371126619342
"70",70,1018,90,0.416666666666667,3.98034732011365
"71",71,1018,180,0.291666666666667,3.97604211629732
"72",72,1018,270,0.5,4.11782547362721
"73",73,1019,0,0.416666666666667,4.77621648937889
"74",74,1019,90,0.541666666666667,5.13281989537826
"75",75,1019,180,0.333333333333333,4.37838539780259
"76",76,1019,270,0.291666666666667,4.49343865206553
"77",77,1020,0,0.541666666666667,5.09341402595989
"78",78,1020,90,0.583333333333333,4.71308527876982
"79",79,1020,180,0.708333333333333,5.46689132014496
"80",80,1020,270,0.5,5.11163218760127
"81",81,1021,0,0.5,4.55545043134426
"82",82,1021,90,0.333333333333333,4.84315777863211
"83",83,1021,180,0.333333333333333,5.08647489747642
"84",84,1021,270,0.458333333333333,4.67215833855974
"85",85,1022,0,0.416666666666667,3.65931372401419
"86",86,1022,90,0.333333333333333,4.05448808891724
"87",87,1022,180,0.291666666666667,3.83133724785461
"88",88,1022,270,0.458333333333333,3.78087133903499
"89",89,1023,0,0.5,5.43897957869137
"90",90,1023,90,0.541666666666667,5.1915103701333
"91",91,1023,180,0.458333333333333,5.2105325150118
"92",92,1023,270,0.333333333333333,5.42300860580492
"93",93,1024,0,0.541666666666667,4.23804732777393
"94",94,1024,90,0.416666666666667,4.19629527419169
"95",95,1024,180,0.458333333333333,4.0654402015831
"96",96,1024,270,0.625,3.57465381383181
