Subject,Accuracy,Phase_offset_condition
1,0.35,0
2,0.558333333,0
3,0.416666667,0
4,0.425,0
5,0.433333333,0
6,0.491666667,0
7,0.408333333,0
8,0.583333333,0
9,0.308333333,0
10,0.575,0
11,0.341666667,0
12,0.5,0
13,0.425,0
14,0.566666667,0
15,0.441666667,0
16,0.575,0
17,0.566666667,0
18,0.633333333,0
19,0.575,0
20,0.391666667,0
21,0.6,0
22,0.391666667,0
23,0.533333333,0
24,0.308333333,0
1,0.275,90
2,0.433333333,90
3,0.416666667,90
4,0.558333333,90
5,0.325,90
6,0.283333333,90
7,0.233333333,90
8,0.358333333,90
9,0.533333333,90
10,0.425,90
11,0.2,90
12,0.358333333,90
13,0.5,90
14,0.491666667,90
15,0.3,90
16,0.308333333,90
17,0.516666667,90
18,0.6,90
19,0.483333333,90
20,0.358333333,90
21,0.575,90
22,0.458333333,90
23,0.358333333,90
24,0.433333333,90
1,0.358333333,180
2,0.35,180
3,0.4,180
4,0.375,180
5,0.275,180
6,0.25,180
7,0.358333333,180
8,0.466666667,180
9,0.483333333,180
10,0.358333333,180
11,0.391666667,180
12,0.4,180
13,0.358333333,180
14,0.475,180
15,0.425,180
16,0.283333333,180
17,0.691666667,180
18,0.475,180
19,0.45,180
20,0.55,180
21,0.466666667,180
22,0.333333333,180
23,0.341666667,180
24,0.3,180
1,0.266666667,270
2,0.258333333,270
3,0.475,270
4,0.383333333,270
5,0.391666667,270
6,0.283333333,270
7,0.216666667,270
8,0.375,270
9,0.45,270
10,0.475,270
11,0.383333333,270
12,0.3,270
13,0.366666667,270
14,0.466666667,270
15,0.408333333,270
16,0.225,270
17,0.5,270
18,0.458333333,270
19,0.533333333,270
20,0.35,270
21,0.5,270
22,0.533333333,270
23,0.4,270
24,0.333333333,270
